source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.7146666666666667,0.7146666666666667,zero_shot,0.9973333333333333,classify_lora,0.9786666666666667,0.49866666666666665,0.0
alpaca_mmlu,spanish_output,spanish_output,0.6746666666666666,0.6746666666666666,zero_shot,0.836,classify_lora,0.724,0.49866666666666665,0.0
math,change_my_view,change_my_view,0.352,0.352,zero_shot,0.764,prompt_tuning,0.8626666666666667,0.432,0.0
raven_matrices,us_history,us_history,0.668,0.668,zero_shot,0.9706666666666667,classify_lora,0.7613333333333333,0.49866666666666665,0.0
code_easy,code_hard,code_hard,0.76,0.76,zero_shot,0.9293333333333333,classify_lora,0.976,0.49866666666666665,0.0
alpaca_easy,alpaca_hard,alpaca_hard,0.6506666666666666,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.9573333333333334,0.49866666666666665,0.0
alpaca_mmlu,raven_matrices,raven_matrices,0.7613333333333333,0.7613333333333333,zero_shot,0.948,classify_lora,0.724,0.49866666666666665,0.0
alpaca_mmlu,ranking_logic,ranking_logic,0.6666666666666666,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.724,0.49866666666666665,0.0
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.12,0.12,zero_shot,0.9973333333333333,prompt_tuning,0.924,0.49866666666666665,0.0
alpaca_short,alpaca_long,alpaca_mmlu,0.044,0.044,zero_shot,0.8826666666666667,classify_lora,0.708,0.432,0.0
alpaca_mmlu,wrong_arc,wrong_arc,0.16,0.16,zero_shot,0.952,classify_lora,0.724,0.432,0.0
alpaca_mmlu,truthful_qa,truthful_qa,0.4013333333333333,0.4013333333333333,zero_shot,0.9386666666666666,classify_lora,0.724,0.49866666666666665,0.0
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.5,0.5,zero_shot,0.968,classify_lora,0.724,0.432,0.0
alpaca_mmlu,survival_influence,survival_influence,0.336,0.336,zero_shot,1.0,mms,0.724,0.432,0.0
alpaca_mmlu,reward_seeking,reward_seeking,0.48,0.48,zero_shot,0.9186666666666666,classify_lora,0.724,0.49866666666666665,0.0
