source,target,target_reference,generalization_accuracy,baseline_accuracy,baseline_intervention,target_tuned_capability,target_tuned_capability_intervention,source_ID_accuracy,RMS_calibration_error,differential_elicitation
us_history_textbook,us_history_fiction,us_history_fiction,0.8026666666666666,0.7146666666666667,zero_shot,0.9973333333333333,classify_lora,0.9853333333333333,0.49866666666666665,0.08823529411764702
alpaca_mmlu,spanish_output,spanish_output,0.7013333333333334,0.6746666666666666,zero_shot,0.836,classify_lora,0.7346666666666667,0.49866666666666665,0.031897926634768814
math,change_my_view,change_my_view,0.352,0.352,zero_shot,0.764,prompt_tuning,0.8701472556894244,0.432,0.0
raven_matrices,us_history,us_history,0.6858974358974359,0.668,zero_shot,0.9706666666666667,classify_lora,0.7555555555555555,0.4935897435897436,0.018438292476753982
code_easy,code_hard,code_hard,0.7573333333333333,0.76,zero_shot,0.9293333333333333,classify_lora,0.9773333333333334,0.49866666666666665,-0.0028694404591105157
alpaca_easy,alpaca_hard,alpaca_hard,0.656,0.6506666666666666,zero_shot,0.9733333333333334,classify_lora,0.968,0.49866666666666665,0.005479452054794601
alpaca_mmlu,raven_matrices,raven_matrices,0.784,0.7613333333333333,zero_shot,0.948,classify_lora,0.7346666666666667,0.49866666666666665,0.02390998593530245
alpaca_mmlu,ranking_logic,ranking_logic,0.6626666666666666,0.6666666666666666,zero_shot,0.9946666666666667,classify_lora,0.7346666666666667,0.49866666666666665,-0.004021447721179628
alpaca_low_quality,alpaca_high_quality,alpaca_high_quality,0.12666666666666668,0.12,zero_shot,0.9973333333333333,prompt_tuning,0.944,0.49866666666666665,0.006684491978609641
alpaca_short,alpaca_long,alpaca_mmlu,0.048,0.044,zero_shot,0.8826666666666667,classify_lora,0.804,0.432,0.0045317220543806686
alpaca_mmlu,wrong_arc,wrong_arc,0.172,0.16,zero_shot,0.952,classify_lora,0.7346666666666667,0.432,0.012605042016806706
alpaca_mmlu,truthful_qa,truthful_qa,0.416,0.4013333333333333,zero_shot,0.9386666666666666,classify_lora,0.7346666666666667,0.49866666666666665,0.015624999999999995
alpaca_mmlu,sycophancy_mimicry,quote_attribution,0.504,0.5,zero_shot,0.968,classify_lora,0.7346666666666667,0.432,0.004132231404958681
alpaca_mmlu,survival_influence,survival_influence,0.324,0.336,zero_shot,1.0,mms,0.7346666666666667,0.432,-0.01200000000000001
alpaca_mmlu,reward_seeking,reward_seeking,0.48,0.48,zero_shot,0.9186666666666666,classify_lora,0.7346666666666667,0.49866666666666665,0.0
